Genotype,Root_length,Temp,Geno_temp
wt,3.327526718,22,wt_22
wt,3.462776442,22,wt_22
wt,3.331511243,22,wt_22
wt,3.13298228,22,wt_22
wt,3.19125596,22,wt_22
wt,3.428135977,22,wt_22
wt,3.189338407,22,wt_22
wt,3.304715312,22,wt_22
wt,3.173300693,22,wt_22
wt,3.740896294,22,wt_22
wt,3.449801832,22,wt_22
wt,3.448108409,22,wt_22
wt,3.017082406,22,wt_22
wt,3.460510243,22,wt_22
wt,3.19755649,22,wt_22
wt,2.86179077,22,wt_22
wt,3.436926835,22,wt_22
wt,3.5186096,22,wt_22
wt,3.462477603,22,wt_22
wt,3.28466817,22,wt_22
wt,3.508996933,22,wt_22
wt,3.412820459,22,wt_22
wt,3.691264053,22,wt_22
wt,3.574791404,22,wt_22
wt,3.596681389,22,wt_22
wt,3.124017099,22,wt_22
wt,3.122049739,22,wt_22
wt,3.598499328,22,wt_22
wt,3.023582163,22,wt_22
wt,3.615084914,22,wt_22
wt,3.255282297,22,wt_22
wt,3.443949561,22,wt_22
wt,3.265617159,22,wt_22
ein2,3.317657939,22,ein2_22
ein2,3.057192236,22,ein2_22
ein2,2.884371869,22,ein2_22
ein2,3.076929451,22,ein2_22
ein2,3.026842802,22,ein2_22
ein2,3.101960173,22,ein2_22
ein2,3.591155749,22,ein2_22
ein2,3.178060623,22,ein2_22
ein2,3.240423165,22,ein2_22
ein2,3.201326842,22,ein2_22
ein2,3.432048083,22,ein2_22
ein2,3.700958188,22,ein2_22
ein2,2.987570029,22,ein2_22
ein2,3.384154457,22,ein2_22
ein2,3.249522954,22,ein2_22
ein2,3.185673189,22,ein2_22
ein2,3.284560923,22,ein2_22
ein2,3.499477266,22,ein2_22
ein2,3.196108958,22,ein2_22
ein2,3.030371806,22,ein2_22
ein2,3.232029177,22,ein2_22
ein2,3.247884488,22,ein2_22
ein2,2.878649841,22,ein2_22
ein2,3.229306803,22,ein2_22
ein2,3.044689479,22,ein2_22
ein2,3.024523742,22,ein2_22
ein2,3.112547185,22,ein2_22
ein2,3.330841289,22,ein2_22
ein2,3.106094149,22,ein2_22
ein2,3.241859974,22,ein2_22
ein2,3.212493619,22,ein2_22
ein2,3.178769606,22,ein2_22
ein3,2.792351632,22,ein3_22
ein3,2.763132583,22,ein3_22
ein3,3.084642443,22,ein3_22
ein3,2.976218453,22,ein3_22
ein3,3.208415838,22,ein3_22
ein3,2.836568956,22,ein3_22
ein3,3.507048813,22,ein3_22
ein3,3.45939869,22,ein3_22
ein3,3.51450105,22,ein3_22
ein3,2.930947738,22,ein3_22
ein3,3.258702699,22,ein3_22
ein3,3.359276421,22,ein3_22
ein3,3.377760918,22,ein3_22
ein3,3.367377496,22,ein3_22
ein3,3.159633821,22,ein3_22
ein3,3.122012728,22,ein3_22
ein3,2.939073894,22,ein3_22
ein3,3.240845221,22,ein3_22
ein3,2.943237295,22,ein3_22
ein3,3.47008308,22,ein3_22
ein3,3.144334577,22,ein3_22
ein3,3.248695489,22,ein3_22
ein3,2.749112456,22,ein3_22
ein3,3.240995705,22,ein3_22
ein3,3.401537449,22,ein3_22
ein3,2.959790576,22,ein3_22
ein3,3.269537574,22,ein3_22
ein3,3.406628837,22,ein3_22
ein3,2.904462489,22,ein3_22
ein3,3.067587547,22,ein3_22
ein3,3.326470828,22,ein3_22
ein3,2.641265323,22,ein3_22
lhp1,1.826991818,22,lhp1_22
lhp1,2.061361203,22,lhp1_22
lhp1,2.089831511,22,lhp1_22
lhp1,2.265066378,22,lhp1_22
lhp1,2.187069336,22,lhp1_22
lhp1,2.464711571,22,lhp1_22
lhp1,2.425574355,22,lhp1_22
lhp1,2.378313897,22,lhp1_22
lhp1,1.928743536,22,lhp1_22
lhp1,2.082064589,22,lhp1_22
lhp1,2.379905864,22,lhp1_22
lhp1,1.853419526,22,lhp1_22
lhp1,2.115578352,22,lhp1_22
lhp1,2.103650579,22,lhp1_22
lhp1,2.651319431,22,lhp1_22
lhp1,2.213471827,22,lhp1_22
lhp1,2.400483163,22,lhp1_22
lhp1,2.044011716,22,lhp1_22
lhp1,1.941730435,22,lhp1_22
lhp1,1.815820564,22,lhp1_22
lhp1,2.175217215,22,lhp1_22
lhp1,2.349544261,22,lhp1_22
lhp1,2.245623857,22,lhp1_22
lhp1,2.078408084,22,lhp1_22
lhp1,1.996149322,22,lhp1_22
lhp1,1.834103091,22,lhp1_22
lhp1,2.141804321,22,lhp1_22
lhp1,2.206184033,22,lhp1_22
lhp1,2.042750852,22,lhp1_22
lhp1,2.178772852,22,lhp1_22
lhp1,2.030116996,22,lhp1_22
lhp1,2.404114451,22,lhp1_22
lhp1,1.890110666,22,lhp1_22
lhp1,2.139761722,22,lhp1_22
lhp1,2.265595941,22,lhp1_22
ino80,1.8805281,22,ino80_22
ino80,1.967855535,22,ino80_22
ino80,2.004294503,22,ino80_22
ino80,2.280549787,22,ino80_22
ino80,1.956457325,22,ino80_22
ino80,1.761351243,22,ino80_22
ino80,2.297193191,22,ino80_22
ino80,2.337515619,22,ino80_22
ino80,2.143619966,22,ino80_22
ino80,2.046735182,22,ino80_22
ino80,2.249784707,22,ino80_22
ino80,2.298554924,22,ino80_22
ino80,2.007547531,22,ino80_22
ino80,2.059797732,22,ino80_22
ino80,2.311970516,22,ino80_22
ino80,1.741429593,22,ino80_22
ino80,2.110938373,22,ino80_22
ino80,1.972344211,22,ino80_22
ino80,1.885268949,22,ino80_22
ino80,2.172720705,22,ino80_22
ino80,1.988609355,22,ino80_22
ino80,2.028704828,22,ino80_22
ino80,2.078685474,22,ino80_22
ino80,1.92778528,22,ino80_22
ino80,1.984877198,22,ino80_22
ino80,1.931467003,22,ino80_22
ino80,2.132600015,22,ino80_22
ino80,1.614132771,22,ino80_22
ino80,2.018088354,22,ino80_22
ino80,1.943747817,22,ino80_22
ino80,2.281961955,22,ino80_22
ino80,2.333531289,22,ino80_22
ino80,2.042776069,22,ino80_22
ino80,2.281331523,22,ino80_22
ino80,2.004899717,22,ino80_22
ino80,1.9272305,22,ino80_22
ino80,2.139358245,22,ino80_22
ino80,2.02368659,22,ino80_22
ino80,2.363438981,22,ino80_22
ein2ino80,2.28715869,22,ein2ino80_22
ein2ino80,2.00802503,22,ein2ino80_22
ein2ino80,2.569145807,22,ein2ino80_22
ein2ino80,2.415059178,22,ein2ino80_22
ein2ino80,2.430286027,22,ein2ino80_22
ein2ino80,2.301173452,22,ein2ino80_22
ein2ino80,2.633815727,22,ein2ino80_22
ein2ino80,2.483062339,22,ein2ino80_22
ein2ino80,2.195797591,22,ein2ino80_22
ein2ino80,2.148904955,22,ein2ino80_22
ein2ino80,2.260240246,22,ein2ino80_22
ein2ino80,2.225619995,22,ein2ino80_22
ein2ino80,2.189989672,22,ein2ino80_22
ein2ino80,1.880250801,22,ein2ino80_22
ein2ino80,2.204938752,22,ein2ino80_22
ein2ino80,2.485688529,22,ein2ino80_22
ein2ino80,2.106784913,22,ein2ino80_22
ein2ino80,1.896942257,22,ein2ino80_22
ein2ino80,2.079664454,22,ein2ino80_22
ein2ino80,2.180217216,22,ein2ino80_22
ein2ino80,2.34448033,22,ein2ino80_22
ein2ino80,2.023176124,22,ein2ino80_22
ein2ino80,2.147061572,22,ein2ino80_22
ein2ino80,2.412382484,22,ein2ino80_22
ein2ino80,1.959364765,22,ein2ino80_22
ein2ino80,2.166404469,22,ein2ino80_22
ein2ino80,2.072215166,22,ein2ino80_22
ein2ino80,2.233044032,22,ein2ino80_22
ein2ino80,2.457204472,22,ein2ino80_22
ein2ino80,2.045397729,22,ein2ino80_22
ein2ino80,2.114234201,22,ein2ino80_22
ein2ino80,2.201605511,22,ein2ino80_22
ein2ino80,1.897144271,22,ein2ino80_22
ein2ino80,2.01605511,22,ein2ino80_22
ein3ino80,2.589920899,22,ein3ino80_22
ein3ino80,2.562733197,22,ein3ino80_22
ein3ino80,2.35503955,22,ein3ino80_22
ein3ino80,2.260705935,22,ein3ino80_22
ein3ino80,2.626486244,22,ein3ino80_22
ein3ino80,2.502935177,22,ein3ino80_22
ein3ino80,2.393239142,22,ein3ino80_22
ein3ino80,2.314461967,22,ein3ino80_22
ein3ino80,2.436122581,22,ein3ino80_22
ein3ino80,2.532237202,22,ein3ino80_22
ein3ino80,2.532784439,22,ein3ino80_22
ein3ino80,1.993408288,22,ein3ino80_22
ein3ino80,2.204442565,22,ein3ino80_22
ein3ino80,2.420700463,22,ein3ino80_22
ein3ino80,2.177361823,22,ein3ino80_22
ein3ino80,2.586513109,22,ein3ino80_22
ein3ino80,2.48223969,22,ein3ino80_22
ein3ino80,2.223670464,22,ein3ino80_22
ein3ino80,2.180090543,22,ein3ino80_22
ein3ino80,2.566066365,22,ein3ino80_22
ein3ino80,2.449728869,22,ein3ino80_22
ein3ino80,2.494353515,22,ein3ino80_22
ein3ino80,2.519849759,22,ein3ino80_22
ein3ino80,2.485324113,22,ein3ino80_22
ein3ino80,1.900900453,22,ein3ino80_22
ein3ino80,2.303989851,22,ein3ino80_22
ein3ino80,2.612282971,22,ein3ino80_22
ein3ino80,2.532660067,22,ein3ino80_22
ein3ino80,2.417640913,22,ein3ino80_22
ein3ino80,2.567036466,22,ein3ino80_22
ein3ino80,2.276130541,22,ein3ino80_22
ein3ino80,2.249713945,22,ein3ino80_22
ein3ino80,2.458534401,22,ein3ino80_22
ein3ino80,2.229515944,22,ein3ino80_22
ein3ino80,2.437814039,22,ein3ino80_22
ein3ino80,2.490547734,22,ein3ino80_22
